"study","outcome.name","reference_condition","condition.name","estimate","std.error","model","prediction","z_raw","z_recal"
"ThorsonS42","Facebook","DVs second, misinformation","DVs second, misinformation, social media",-0.0159255982204446,0.0146030330473236,"babbage-002",0.032831330862915,3.33882207383593,0.118687282923237
"ThorsonS42","Facebook","DVs first","DVs second, misinformation, social media",-0.0361261163929739,0.0126612439918819,"babbage-002",0.156924838017718,15.2473923205707,-0.490645574914089
"ThorsonS42","Facebook","DVs first","DVs second, misinformation",-0.0202005181725288,0.0127166826429694,"babbage-002",0.124093507154803,11.3468291517919,-1.15527314357255
"ThorsonS42","National newspapers","DVs second, misinformation","DVs second, misinformation, social media",0.0130171342724591,0.0177094040077641,"babbage-002",0.0200922971994883,0.399514457060631,-1.37329141839282
"ThorsonS42","National newspapers","DVs first","DVs second, misinformation, social media",0.0403814464725453,0.0153762443507516,"babbage-002",0.116898888630039,4.97634145322055,-4.78929569034409
"ThorsonS42","National newspapers","DVs first","DVs second, misinformation",0.0273643122000857,0.0153954743942878,"babbage-002",0.0968065914305503,4.51056443289788,-3.64178921016088
"ThorsonS42","Local Newspapers","DVs second, misinformation","DVs second, misinformation, social media",0.0242435893328214,0.016146949113974,"babbage-002",0.0146352305562598,-0.595057227761145,-2.12479145125682
"ThorsonS42","Local Newspapers","DVs first","DVs second, misinformation, social media",0.0385275592679717,0.0140082970130022,"babbage-002",0.11350138162824,5.35210113625367,-5.06963110461325
"ThorsonS42","Local Newspapers","DVs first","DVs second, misinformation",0.0142839699351496,0.0140258446168211,"babbage-002",0.0988661510719798,6.03045188703942,-3.09812808326846
"Blair1131","Approve_Handling","Male, Republican, Eric, Stay out","Male, Republican, Erica, Stay out",-0.0358274388446832,0.0365507457786485,"babbage-002",0.026811736476187,1.71375915830045,0.71951488996701
"Blair1131","Approve_Handling","Male, Republican, Eric, Stay out","Male, Republican, Erica, Not engage",-0.123530982905984,0.0356056211609257,"babbage-002",0.0487505504964859,4.83860491083175,3.1205981812773
"Blair1131","Approve_Handling","Male, Republican, Eric, Stay out","Male, Republican, Erica, Engage",0.111319163292842,0.035702935139337,"babbage-002",0.000403471378230991,-3.10662670958964,-3.28732675677623
"Blair1131","Approve_Handling","Male, Republican, Eric, Not engage","Male, Republican, Eric, Stay out",0.114219114219117,0.0364374909014214,"babbage-002",-0.022571251784195,-3.75411046752333,-3.21754097192267
"Blair1131","Approve_Handling","Male, Republican, Eric, Not engage","Male, Republican, Erica, Stay out",0.0783916753744329,0.0380341676948677,"babbage-002",0.00424048469199195,-1.94959414590915,-2.23339816905129
"Blair1131","Approve_Handling","Male, Republican, Eric, Not engage","Male, Republican, Erica, Not engage",-0.00931186868687216,0.0371268252550803,"babbage-002",0.0261792987122909,0.955944041951353,-0.00359335007206547
"Blair1131","Approve_Handling","Male, Republican, Eric, Not engage","Male, Republican, Erica, Engage",0.225538277511956,0.0372201621816676,"babbage-002",-0.022167780405964,-6.65515794124952,-6.14214035880346
"Blair1131","Approve_Handling","Male, Republican, Eric, Engage","Male, Republican, Eric, Stay out",-0.0724391349391368,0.0353239781160555,"babbage-002",-0.00164953037241566,2.00400997685325,1.88715063646131
"Blair1131","Approve_Handling","Male, Republican, Eric, Engage","Male, Republican, Eric, Not engage",-0.186658249158251,0.0368568083969506,"babbage-002",0.0209217214117793,5.63206581357721,4.82694844833664
"Blair1131","Approve_Handling","Male, Republican, Eric, Engage","Male, Republican, Erica, Stay out",-0.108266573783816,0.0369687787057362,"babbage-002",0.0251622061037713,3.6092287751687,2.6767275156692
"Blair1131","Approve_Handling","Male, Republican, Eric, Engage","Male, Republican, Erica, Not engage",-0.195970117845123,0.0360346200239964,"babbage-002",0.0471010201240702,6.74548913814898,5.09974513040121
"Blair1131","Approve_Handling","Male, Republican, Eric, Engage","Male, Republican, Erica, Engage",0.0388800283537137,0.0361307785631876,"babbage-002",-0.00124605899418467,-1.11057909471072,-1.2374677325485
"Blair1131","Approve_Handling","Male, Republican, Erica, Not engage","Male, Republican, Erica, Stay out",0.0877035440613018,0.0372379836632645,"babbage-002",-0.0219388140202989,-2.94436882171371,-2.4385558896847
"Blair1131","Approve_Handling","Male, Republican, Erica, Engage","Male, Republican, Erica, Stay out",-0.147146602137526,0.0373310426671142,"babbage-002",0.026408265097956,4.64907634065016,3.68784626410304
"Blair1131","Approve_Handling","Male, Republican, Erica, Engage","Male, Republican, Erica, Not engage",-0.234850146198835,0.0364061806276629,"babbage-002",0.0483470791182549,7.77882272830086,6.1111375379169
"Blair1131","Approve_Handling","Male, Democrat, Eric, Stay out","Male, Republican, Eric, Stay out",-0.0201076439283984,0.0347212938351431,"babbage-002",-0.0139999825315117,0.175905351508093,0.459601356230765
"Blair1131","Approve_Handling","Male, Democrat, Eric, Stay out","Male, Democrat, Erica, Stay out",-0.040609412274994,0.0363933429989121,"babbage-002",-0.00690374507568542,0.926149246589305,0.976124816157434
"Blair1131","Approve_Handling","Male, Democrat, Eric, Stay out","Male, Democrat, Erica, Not engage",-0.207090687766282,0.0357427518786879,"babbage-002",-0.00014441654462144,5.78988075467841,5.62673094759509
"Blair1131","Approve_Handling","Male, Democrat, Eric, Stay out","Male, Democrat, Erica, Engage",0.132476916900843,0.0356413375117274,"babbage-002",-0.00166795445907458,-3.7637440322148,-3.87897776660742
